Modelo,EQM,MAPE
Linear,23550822603.647434,19.433930441766524
Ridge,23879513195.22421,18.80379804585334
Floresta Aleatória,14796974567.777205,12.690101866423259
Gradient Boosted,11525781926.44506,11.885557120691816
